sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
4,orig,0,0.1037061475860552,0.31727586352897474,93,0,0,True
5,orig,0,0.11202216066481994,0.3418079552325106,93,0,0,True
6,orig,0,0.11042265988050454,0.32889010055025897,93,0,0,True
7,orig,0,0.09205658324265506,0.37075260971414253,93,0,0,True
8,orig,0,0.05708868759216347,0.280823554041874,93,0,0,True
9,orig,0,0.09719033562916804,0.33262327913657813,93,0,0,True
10,orig,0,0.08638233383849318,0.48017749306204816,93,0,0,True
11,orig,0,0.07636207636207636,0.367310758068933,93,0,0,True
12,orig,0,0.0969504863919554,0.3828964064870792,93,0,0,True
13,orig,0,0.06720544449170565,0.28972948451081504,93,0,0,True
14,orig,0,0.08708838821490468,0.43969758589830804,93,0,0,True
15,orig,0,0.07879178759539933,0.3077181762175648,93,0,0,True
16,orig,0,0.08968512486427796,0.33098592814070543,93,0,0,True
17,orig,0,0.07440316882560753,0.3150323061471982,93,0,0,True
18,orig,0,0.07844401461422738,0.3867903949857993,93,0,0,True
19,orig,0,0.09587246123607775,0.2666329996989727,93,0,0,True
0,orig,0,0.1044349070100143,0.3311630326704087,107,0,0,True
1,orig,0,0.113997113997114,0.2302351970219729,107,0,1,False
2,orig,0,0.09146275149537793,0.26840305677255577,107,0,0,True
3,orig,0,0.10334212840809147,0.2840335328877011,107,0,0,True
4,orig,0,0.09312711033656465,0.2841455608235981,107,0,0,True
5,orig,0,0.09146275149537793,0.24832291979714535,107,0,0,True
6,orig,0,0.1096859796550199,0.2392126924691679,107,0,0,True
7,orig,0,0.09707039790118059,0.34913993172603813,107,0,0,True
8,orig,0,0.08426966292134831,0.3170273242915476,107,0,0,True
9,orig,0,0.0740582191780822,0.3422300907135339,107,0,0,True
10,orig,0,0.10674900749889722,0.6107088792123572,107,0,0,True
11,orig,0,0.08509028003027354,0.30300366721172994,107,0,0,True
12,orig,0,0.10674900749889722,0.3861565230820184,107,0,0,True
13,orig,0,0.08473843493298747,0.38674627503032133,107,0,0,True
14,orig,0,0.0969504863919554,0.320678024172596,107,0,0,True
15,orig,0,0.10846034901700906,0.3551059888594073,107,0,0,True
16,orig,0,0.11834187653220414,0.19342851239454228,107,0,0,True
17,orig,0,0.0854423534501406,0.32564448406228225,107,0,0,True
18,orig,0,0.14749599817059228,0.18844460270943705,107,0,0,True
19,orig,0,0.09587246123607775,0.26008894082767586,107,0,0,True
0,orig,0,0.10019732514799386,0.24651018183087556,121,0,0,True
1,orig,0,0.1158550144540805,0.32371520691432515,121,0,0,True
2,orig,0,0.0950354609929078,0.4241591852297188,121,0,0,True
3,orig,0,0.09419973833406019,0.41183481801173594,121,0,0,True
4,orig,0,0.09027702335687127,0.28210390579243316,121,0,0,True
5,orig,0,0.09923329682365827,0.288367025962451,121,0,0,True
6,orig,0,0.09611183923110529,0.27793231461856593,121,0,0,True
7,orig,0,0.08415253321810522,0.2695263134479098,121,0,0,True
8,orig,0,0.06902428632296549,0.28645175452273125,121,0,0,True
9,orig,0,0.08462120393385929,0.4360101265243886,121,0,0,True
10,orig,0,0.11313220940550132,0.5446456467012335,121,0,0,True
11,orig,0,0.10552985239039436,0.3969146376440278,121,0,0,True
12,orig,0,0.0882671871611364,0.39301940218806114,121,0,0,True
13,orig,0,0.06982198059908325,0.2475742294860386,121,0,0,True
14,orig,0,0.0925321140866536,0.3423401305822088,121,0,0,True
15,orig,0,0.09158146617359147,0.35210173075570733,121,0,0,True
16,orig,0,0.08685293480615118,0.20845313759933137,121,0,0,True
17,orig,0,0.07520891364902507,0.3705246122220826,121,0,0,True
18,orig,0,0.07879178759539933,0.4522076490127147,121,0,0,True
19,orig,0,0.1034634414513469,0.3950381248557788,121,0,0,True
