seed,banda,queda_prob,sample,target_class
7,Manhattan (H),0.03048938512802124,3,0
12,Minkowski (P),-0.014350652694702148,3,0
12,Minkowski (G),0.04823035001754761,3,0
12,Minkowski (H),-0.05063676834106445,3,0
12,Euclidiana (P),0.018916547298431396,3,0
12,Euclidiana (G),0.019932091236114502,3,0
12,Euclidiana (H),-0.006544828414916992,3,0
12,Manhattan (P),-0.02920430898666382,3,0
12,Manhattan (G),-0.05061823129653931,3,0
12,Manhattan (H),0.029041290283203125,3,0
42,Minkowski (P),0.06489330530166626,3,0
42,Minkowski (G),0.008203566074371338,3,0
42,Minkowski (H),-0.015491008758544922,3,0
42,Euclidiana (P),-0.010502755641937256,3,0
42,Euclidiana (G),-0.0004724860191345215,3,0
42,Euclidiana (H),-0.007634520530700684,3,0
42,Manhattan (P),-0.026598632335662842,3,0
42,Manhattan (G),-0.004638195037841797,3,0
42,Manhattan (H),0.07799828052520752,3,0
65,Minkowski (P),-0.00734943151473999,3,0
65,Minkowski (G),0.004724562168121338,3,0
65,Minkowski (H),-0.0026330947875976562,3,0
65,Euclidiana (P),-0.00609356164932251,3,0
65,Euclidiana (G),-0.0016892552375793457,3,0
65,Euclidiana (H),-0.0035358667373657227,3,0
65,Manhattan (P),-0.004562973976135254,3,0
65,Manhattan (G),-0.0034677982330322266,3,0
65,Manhattan (H),0.07548463344573975,3,0
87,Minkowski (P),-0.0003390312194824219,3,0
87,Minkowski (G),-0.00027936697006225586,3,0
87,Minkowski (H),-0.00030791759490966797,3,0
87,Euclidiana (P),-0.0004793405532836914,3,0
87,Euclidiana (G),0.0001170039176940918,3,0
87,Euclidiana (H),-0.00015556812286376953,3,0
87,Manhattan (P),7.522106170654297e-05,3,0
87,Manhattan (G),-0.000279843807220459,3,0
87,Manhattan (H),0.0005064606666564941,3,0
93,Minkowski (P),-6.330013275146484e-05,3,0
93,Minkowski (G),-6.842613220214844e-05,3,0
93,Minkowski (H),-0.00023734569549560547,3,0
93,Euclidiana (P),-0.0001068115234375,3,0
93,Euclidiana (G),-8.934736251831055e-05,3,0
93,Euclidiana (H),-0.00031745433807373047,3,0
93,Manhattan (P),-0.0002671480178833008,3,0
93,Manhattan (G),-0.0003558993339538574,3,0
93,Manhattan (H),0.00443655252456665,3,0
107,Minkowski (P),-0.005755186080932617,3,0
107,Minkowski (G),-0.0040520429611206055,3,0
107,Minkowski (H),-0.0011997818946838379,3,0
107,Euclidiana (P),-0.008430659770965576,3,0
107,Euclidiana (G),-0.005832850933074951,3,0
107,Euclidiana (H),-0.0044699907302856445,3,0
107,Manhattan (P),-0.0068261027336120605,3,0
107,Manhattan (G),-0.003600895404815674,3,0
107,Manhattan (H),0.011943638324737549,3,0
121,Minkowski (P),-0.2570386230945587,3,0
121,Minkowski (G),-0.2354908287525177,3,0
121,Minkowski (H),-0.13427028059959412,3,0
121,Euclidiana (P),-0.1969827115535736,3,0
121,Euclidiana (G),-0.05634605884552002,3,0
121,Euclidiana (H),-0.06473958492279053,3,0
121,Manhattan (P),-0.06827971339225769,3,0
121,Manhattan (G),-0.10398757457733154,3,0
121,Manhattan (H),-0.1129155158996582,3,0
7,Minkowski (P),-0.0005418062210083008,4,0
7,Minkowski (G),0.0020328760147094727,4,0
7,Minkowski (H),-0.0003725290298461914,4,0
7,Euclidiana (P),0.0006374716758728027,4,0
7,Euclidiana (G),-5.322694778442383e-05,4,0
7,Euclidiana (H),0.0012028217315673828,4,0
7,Manhattan (P),2.485513687133789e-05,4,0
7,Manhattan (G),0.00011390447616577148,4,0
7,Manhattan (H),0.0038280487060546875,4,0
12,Minkowski (P),-0.0006906390190124512,4,0
12,Minkowski (G),0.02676326036453247,4,0
12,Minkowski (H),-0.008661925792694092,4,0
12,Euclidiana (P),0.014871001243591309,4,0
12,Euclidiana (G),-0.006238043308258057,4,0
12,Euclidiana (H),0.0011497139930725098,4,0
12,Manhattan (P),0.033136963844299316,4,0
12,Manhattan (G),0.008256077766418457,4,0
12,Manhattan (H),0.09594708681106567,4,0
42,Minkowski (P),0.024292051792144775,4,0
42,Minkowski (G),0.0949745774269104,4,0
42,Minkowski (H),-0.05896198749542236,4,0
42,Euclidiana (P),0.004314541816711426,4,0
42,Euclidiana (G),-0.029831647872924805,4,0
42,Euclidiana (H),0.039608001708984375,4,0
42,Manhattan (P),0.08532291650772095,4,0
42,Manhattan (G),-0.0663825273513794,4,0
42,Manhattan (H),-0.02522742748260498,4,0
65,Minkowski (P),-0.3662353456020355,4,0
65,Minkowski (G),0.07566419243812561,4,0
65,Minkowski (H),-0.2547626793384552,4,0
65,Euclidiana (P),0.08329075574874878,4,0
65,Euclidiana (G),-0.06764081120491028,4,0
65,Euclidiana (H),-0.08522728085517883,4,0
65,Manhattan (P),0.033504217863082886,4,0
65,Manhattan (G),-0.618772953748703,4,0
65,Manhattan (H),-0.3285880982875824,4,0
87,Minkowski (P),0.003756105899810791,4,0
87,Minkowski (G),0.009860873222351074,4,0
87,Minkowski (H),-0.002778291702270508,4,0
87,Euclidiana (P),0.0024559497833251953,4,0
87,Euclidiana (G),0.004228949546813965,4,0
87,Euclidiana (H),0.0006595849990844727,4,0
87,Manhattan (P),0.0019362568855285645,4,0
87,Manhattan (G),0.0032296180725097656,4,0
87,Manhattan (H),0.009249746799468994,4,0
93,Minkowski (P),-0.003705739974975586,4,0
93,Minkowski (G),-0.0006574392318725586,4,0
93,Minkowski (H),-0.00301283597946167,4,0
93,Euclidiana (P),-0.0003960132598876953,4,0
93,Euclidiana (G),-0.00013065338134765625,4,0
93,Euclidiana (H),-0.0014818906784057617,4,0
93,Manhattan (P),0.0028491616249084473,4,0
93,Manhattan (G),0.0001246929168701172,4,0
93,Manhattan (H),0.005258500576019287,4,0
107,Minkowski (P),-0.058568477630615234,4,0
107,Minkowski (G),-0.03262066841125488,4,0
107,Minkowski (H),-0.03421449661254883,4,0
107,Euclidiana (P),-0.009206235408782959,4,0
107,Euclidiana (G),0.011315762996673584,4,0
107,Euclidiana (H),-0.009621262550354004,4,0
107,Manhattan (P),-0.006315648555755615,4,0
107,Manhattan (G),0.0051337480545043945,4,0
107,Manhattan (H),-0.0011416077613830566,4,0
121,Minkowski (P),-0.07895636558532715,4,0
121,Minkowski (G),-0.03390514850616455,4,0
121,Minkowski (H),-0.04793131351470947,4,0
121,Euclidiana (P),-0.03894251585006714,4,0
121,Euclidiana (G),-0.05271953344345093,4,0
121,Euclidiana (H),-0.05326038599014282,4,0
121,Manhattan (P),0.003134787082672119,4,0
121,Manhattan (G),0.006177783012390137,4,0
121,Manhattan (H),0.0173947811126709,4,0
7,Minkowski (P),-0.06581103801727295,5,0
7,Minkowski (G),-0.060708582401275635,5,0
7,Minkowski (H),0.035279273986816406,5,0
7,Euclidiana (P),-0.05625557899475098,5,0
7,Euclidiana (G),-0.0673295259475708,5,0
7,Euclidiana (H),-0.05126333236694336,5,0
