seed,sample,target_class,grupo,prob_base,prob_oclusa,queda_prob
107,1,0,Manhattan (G),0.95428466796875,0.8666324615478516,0.08765220642089844
107,1,0,Manhattan (H),0.95428466796875,0.8863769173622131,0.06790775060653687
121,1,0,Minkowski (P),0.8080316185951233,0.2840781807899475,0.5239534378051758
121,1,0,Minkowski (G),0.8080316185951233,0.44149914383888245,0.36653247475624084
121,1,0,Minkowski (H),0.8080316185951233,0.1391388475894928,0.6688927710056305
121,1,0,Euclidiana (P),0.8080316185951233,0.2509332299232483,0.557098388671875
121,1,0,Euclidiana (G),0.8080316185951233,0.1145215705037117,0.6935100480914116
121,1,0,Euclidiana (H),0.8080316185951233,0.565899670124054,0.24213194847106934
121,1,0,Manhattan (P),0.8080316185951233,0.5898854732513428,0.21814614534378052
121,1,0,Manhattan (G),0.8080316185951233,0.599464476108551,0.20856714248657227
121,1,0,Manhattan (H),0.8080316185951233,0.6290932893753052,0.17893832921981812
7,2,0,Minkowski (P),0.9948796033859253,0.7609820365905762,0.23389756679534912
7,2,0,Minkowski (G),0.9948796033859253,0.8626711368560791,0.1322084665298462
7,2,0,Minkowski (H),0.9948796033859253,0.7081047892570496,0.28677481412887573
7,2,0,Euclidiana (P),0.9948796033859253,0.5349581241607666,0.4599214792251587
7,2,0,Euclidiana (G),0.9948796033859253,0.14941278100013733,0.845466822385788
7,2,0,Euclidiana (H),0.9948796033859253,0.5063232779502869,0.4885563254356384
7,2,0,Manhattan (P),0.9948796033859253,0.7807535529136658,0.21412605047225952
7,2,0,Manhattan (G),0.9948796033859253,0.9527116417884827,0.04216796159744263
7,2,0,Manhattan (H),0.9948796033859253,0.9878765344619751,0.007003068923950195
12,2,0,Minkowski (P),0.9870288372039795,0.5912946462631226,0.39573419094085693
12,2,0,Minkowski (G),0.9870288372039795,0.9173868298530579,0.06964200735092163
12,2,0,Minkowski (H),0.9870288372039795,0.6061321496963501,0.3808966875076294
12,2,0,Euclidiana (P),0.9870288372039795,0.4700101315975189,0.5170187056064606
12,2,0,Euclidiana (G),0.9870288372039795,0.23724818229675293,0.7497806549072266
12,2,0,Euclidiana (H),0.9870288372039795,0.40334391593933105,0.5836849212646484
12,2,0,Manhattan (P),0.9870288372039795,0.5766043066978455,0.41042453050613403
12,2,0,Manhattan (G),0.9870288372039795,0.89337557554245,0.09365326166152954
12,2,0,Manhattan (H),0.9870288372039795,0.9680843949317932,0.01894444227218628
42,2,0,Minkowski (P),0.9943776726722717,0.8442608714103699,0.15011680126190186
42,2,0,Minkowski (G),0.9943776726722717,0.9598335027694702,0.034544169902801514
42,2,0,Minkowski (H),0.9943776726722717,0.7819012999534607,0.21247637271881104
